Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v,psa_50_v,psa_50_u,psa_1_v,psa_1_u,psa_2_v,psa_2_u
4.3,22.3,50,SS,8.3,980.827142,26.208248622470446,IT,MNF,7.565391,-5.798361,5.762745,5.86669,7.7061,14.8244,13.1947,5.78622,7.337210000000002,9.84371,11.4919,3.68531,3.94739,1.2738399999999999,1.1946700000000001,0.486658,0.341821
4.0,16.3,50,NF,9.2,787.333015,24.58328975128685,IT,MMO,-11.869873,12.093097,9.140925,12.1462,17.4801,30.2521,32.2054,9.25651,12.3307,20.1274,16.7885,11.0659,13.9149,2.06251,2.37175,0.42674300000000004,0.388702
4.3,43.7,50,SS,8.3,521.899982,26.208248622470446,IT,GAG1,-8.500444,-4.497458999999999,-5.577529,4.50702,5.00114,9.37391,13.0984,5.5873599999999985,6.0374300000000005,8.33464,16.2909,3.64969,5.46425,0.927027,2.0206,0.27955599999999997,0.314755
4.3,33.1,50,NF,9.7,493.239241,26.208248622470446,IT,ORC,-2.614114,-2.566656,-1.502708,2.57048,2.93299,4.22041,5.58288,1.5106,1.68387,2.40097,3.44526,1.18961,2.27045,0.25445300000000004,0.586345,0.044687,0.100066
4.2,30.6,50,TF,3.9,778.4945,25.65499887812425,IT,FVZ,-1.546906,-1.5413569999999999,-1.198016,1.5521200000000002,1.8036,3.0241,4.27381,1.19811,2.6628700000000003,5.19904,2.34504,0.844008,0.8987780000000001,0.369373,0.235197,0.097567,0.06185
4.4,34.4,50,NF,9.2,941.811933,26.773429190944697,IT,TAO,-1.282922,0.901752,0.9923139999999999,0.909323,1.74712,3.0073,3.4617400000000003,0.995009,1.61329,4.01502,4.99712,0.7640979999999999,0.838557,0.283122,0.22530999999999998,0.06808600000000001,0.09752000000000001
4.1,46.4,50,NF,8.1,509.46582699999993,25.11342810111489,IT,MMUR,2.213931,-2.6192759999999997,-1.101558,2.62181,3.27341,4.7944900000000015,9.21127,1.11445,3.22461,3.01848,5.05287,0.303036,0.510696,0.061030999999999995,0.188668,0.025414,0.042286000000000004
4.3,23.2,50,NF,10.1,408.08715,26.208248622470446,IT,RFC,2.054537,-1.948538,1.106027,1.95623,2.08428,2.54892,3.35975,1.10647,1.3403,2.14522,2.30666,3.16898,2.89257,0.415153,0.640763,0.132464,0.11481400000000001
4.2,8.6,50,NF,12.7,596.290954,25.65499887812425,IT,T0107,8.75505,-19.896298,-9.728773,19.9414,26.643,40.5139,35.4747,9.75296,19.683,33.3011,35.2682,2.45955,8.029760000000001,0.691204,2.7429799999999998,0.14145,0.4582600000000001
4.1,35.1,50,NF,10.3,493.239241,25.11342810111489,IT,ORC,1.812598,-1.280502,0.6113609999999999,1.28201,1.34198,2.07645,2.6416,0.614609,0.748097,1.04539,2.05577,0.5725520000000001,1.4714,0.205831,0.463107,0.027776,0.066195
4.0,54.6,50,NF,8.5,744.53735,24.58328975128685,IT,CAFI,-0.294644,-0.489568,0.218898,0.491329,0.5272680000000001,0.7344569999999999,0.925797,0.220395,0.263989,0.31721,0.5677439999999999,0.29047199999999995,0.235246,0.08485,0.105452,0.016812,0.023056
4.0,75.8,50,TF,18.0,520.105951,24.58328975128685,IT,ASR,-1.75577,-1.417628,0.742027,1.43075,1.95848,4.21045,5.53115,0.753013,1.51578,2.27722,1.83735,0.5289689999999999,0.5877939999999999,0.199801,0.12448699999999999,0.023722999999999998,0.044038
4.1,54.0,50,NF,6.7,799.014612,25.11342810111489,IT,CSD,1.547574,-1.487682,-0.9858530000000001,1.4880799999999998,1.57411,2.53734,2.49146,0.985931,1.1842700000000002,1.62837,2.53524,0.375465,0.715199,0.15056,0.270631,0.062465,0.08973400000000001
4.0,89.8,50,NF,7.8,588.17473,24.58328975128685,IT,COR1,-0.162486,-0.126208,0.075846,0.126209,0.147538,0.2324320000000001,0.300561,0.075911,0.078711,0.124445,0.112974,0.097539,0.22714499999999999,0.07634400000000001,0.126998,0.046076,0.07543
