Mw,Repi,dip,mech,depth,vs30,sdrop,ev_nation_code,stn,u,v,w,psa_01_u,psa_04_u,psa_07_u,psa_100_u,psa_01_v,psa_04_v,psa_07_v,psa_100_v
4.0,165.8,50,TF,6.9,1131.75664,23.059081272511175,IT,BORM,-0.15188800000000002,-0.198055,0.143178,0.151889,0.16078499999999998,0.265599,0.32661,0.143268,0.164395,0.377133,0.300551
4.0,183.1,50,TF,6.9,1071.1775380000001,23.059081272511175,IT,BOTT,0.124921,0.148201,0.0719,0.125185,0.133671,0.179632,0.183008,0.071935,0.078192,0.112432,0.137843
4.0,207.1,50,TF,6.9,581.4710259999999,23.059081272511175,IT,CAPR,0.095122,0.128368,0.102213,0.095303,0.099423,0.122633,0.14914000000000002,0.102256,0.104493,0.111563,0.142974
4.0,187.5,50,TF,6.9,1282.654968,23.059081272511175,IT,CNCS,0.5085689999999999,0.42254,0.215127,0.5086689999999999,0.518628,0.603846,0.651016,0.215129,0.23240700000000006,0.260179,0.322565
4.0,53.1,50,TF,6.9,885.196244,23.059081272511175,IT,CRND,-0.9486,0.856107,-0.5266109999999999,0.950827,1.12071,2.10136,1.53212,0.528995,0.805508,1.13333,1.68672
4.0,21.1,50,TF,6.9,691.941587,23.059081272511175,IT,FRE8,-9.422326,-7.078022,-5.232282,9.53048,23.6102,34.7029,30.229,5.3076300000000005,8.93944,8.35978,11.2818
4.0,210.6,50,TF,6.9,996.7615400000001,23.059081272511175,IT,IMOL,-0.168296,-0.200681,0.192945,0.17441800000000002,0.496591,0.5985090000000001,0.141965,0.195943,0.739451,0.277247,0.141257
4.0,200.5,50,TF,6.9,872.734644,23.059081272511175,IT,LEOD,-0.372509,0.360993,-0.107466,0.372635,0.376638,0.406184,0.413409,0.107476,0.109445,0.121711,0.139974
4.0,175.1,50,TF,6.9,237.0,56.88305331528247,IT,MNTV,0.427601,0.311898,-0.228027,0.427764,0.4457430000000001,0.519141,0.514386,0.22877,0.250603,0.397252,0.384038
4.0,210.3,50,TF,6.9,441.365803,35.045228823412366,IT,MODE,0.08566499999999999,0.09514,0.098703,0.085721,0.085787,0.09208,0.090546,0.098825,0.10198,0.123518,0.121865
4.0,141.0,50,TF,6.9,264.0,37.99162763753118,IT,OPPE,-0.8810969999999999,-1.014072,-0.348212,0.8837280000000001,1.0116,1.38319,1.59897,0.350271,0.5674399999999999,0.997896,0.91556
4.0,216.7,50,TF,6.9,1586.3108789999999,25.930148264271104,IT,ORZI,-0.160864,0.136551,-0.041582,0.160869,0.163491,0.170292,0.191486,0.041602,0.044935,0.073232,0.066508
4.0,90.8,50,TF,6.9,321.0,27.234336551216476,IT,SANR,-1.460985,-1.491748,-0.410786,1.46386,1.7890400000000002,4.68164,5.9976400000000005,0.410838,0.618639,1.45977,1.55813
4.0,159.9,50,TF,6.9,335.187255,27.234336551216476,IT,SERM,-0.147362,-0.135697,-0.059051,0.14761,0.161741,0.193113,0.28948,0.059239,0.114326,0.112943,0.105004
4.0,19.3,50,TF,6.9,1249.364125,27.234336551216476,IT,STAL,12.665367,-10.680915,-9.48299,12.876,20.252,39.1089,34.5082,9.48361,17.5561,41.7174,20.0083
4.0,176.9,50,TF,6.9,889.684563,27.234336551216476,IT,T0800,-0.204417,0.250178,-0.06734,0.204576,0.214986,0.391633,0.373016,0.067399,0.090975,0.131943,0.152751
4.0,177.4,50,TF,6.9,1586.3108789999999,27.234336551216476,IT,T0802,0.30905900000000003,-0.311625,0.091039,0.309808,0.328693,0.456953,0.64558,0.091124,0.122322,0.221493,0.247986
4.0,180.5,50,TF,6.9,780.226277,25.654998878124243,IT,T0803,-0.25658800000000004,0.17102,0.10546400000000003,0.256776,0.263729,0.382339,0.331393,0.105467,0.134545,0.302049,0.36292
4.0,167.2,50,TF,6.9,1318.656565,29.034529984537723,IT,T0805,0.5224270000000001,0.394198,-0.151102,0.5226149999999999,0.529764,0.61834,0.75544,0.151562,0.190666,0.233683,0.293791
4.0,183.9,50,TF,6.9,767.570529,29.034529984537723,IT,T0811,-0.231088,0.205856,0.062891,0.231122,0.237987,0.264133,0.291978,0.06289199999999999,0.079436,0.149141,0.122621
4.0,170.2,50,TF,6.9,451.10269800000003,29.034529984537723,IT,T0812,0.340645,0.392597,0.1606,0.341837,0.390135,0.574966,0.664987,0.160619,0.190421,0.326113,0.324358
4.0,176.3,50,TF,6.9,861.645389,30.69067215503794,IT,T0813,-0.235674,-0.261844,-0.056619,0.236005,0.257258,0.4782270000000001,0.695575,0.056634,0.075296,0.135673,0.132579
4.0,194.6,50,TF,6.9,1318.656565,22.814397285648507,IT,T0814,-0.143103,0.195152,0.052853,0.143359,0.14547000000000002,0.189574,0.275767,0.053566,0.07232100000000001,0.16347799999999998,0.114341
4.0,157.2,50,TF,6.9,767.570529,22.814397285648507,IT,T0815,0.25203200000000003,-0.250724,-0.087839,0.252197,0.269697,0.399013,0.789018,0.088115,0.112648,0.260461,0.228612
4.0,176.5,50,TF,6.9,804.300694,27.29250509169468,IT,T0816,0.280237,-0.311333,-0.088492,0.280306,0.294656,0.37888,0.31343000000000004,0.088853,0.099076,0.212144,0.237698
4.0,154.7,50,TF,6.9,1318.656565,27.29250509169468,IT,T0817,-0.73224,-0.770582,0.233583,0.7330720000000001,0.773912,1.04367,1.16367,0.236432,0.375571,0.493266,0.740359
